theta_11,theta_12,theta_21,theta_22,classical_max_angle,quantum_max_angle,classical_max_value,quantum_max_value
1.5,2.0,1.5,0.0,169.15896808624305,141.5593405200051,2.952380952380953,2.4706765790259104
1.5,2.0,1.5,0.75,164.5449904979409,123.06816998286904,2.871851851851852,2.1479447706051182
0.75,2.0,1.0,0.0,165.82353520744576,120.33221708603035,2.8941666666666666,2.1001933843758067
2.0,2.25,2.25,0.0,143.3697741703493,141.93505926813864,2.502274607113317,2.4772341082423126
0.75,2.0,1.0,0.75,149.35099859743457,121.08749063822049,2.6066666666666665,2.1133753946147573
1.5,1.5,3.0,0.0,116.7648472145919,114.59155902616465,2.0379310344827584,2.0
1.5,1.5,3.0,0.75,120.9759458861938,114.59155902616465,2.111428571428571,2.0
2.0,2.25,2.25,0.75,138.5134366588938,142.41958971974728,2.4175155279503104,2.4856907599490583
0.75,2.25,0.75,2.0,152.19322489604434,142.41958971974725,2.6562728736641783,2.485690759949058
0.75,2.25,0.75,2.25,114.59155902616465,114.59155902616465,2.0,2.0
3.0,1.0,1.0,0.0,162.78671156890113,139.78409048024338,2.841164095371669,2.4396926207859084
3.0,1.0,1.0,0.75,149.81785309717085,142.85532498027123,2.614814814814815,2.4932957749122364
0.75,1.5,3.0,0.0,119.4739061525927,157.01494044764232,2.085213032581453,2.7404276856341774
0.75,1.5,3.0,0.75,162.22952721980695,132.65523096564314,2.831439393939394,2.31527055034401
2.0,1.0,0.0,3.0,118.41127766037012,114.59155902616465,2.0666666666666664,2.0
2.0,0.75,0.75,3.0,155.51711582122346,125.45280804605282,2.7142857142857144,2.189564556276056
0.75,2.25,1.0,0.0,147.66755002195617,152.42058953989326,2.5772849462365595,2.660241135301966
2.0,0.75,0.0,0.0,130.10293817550345,114.59155902616465,2.2707246376811594,2.0
2.0,0.75,0.0,0.75,138.662827377667,126.63769361594832,2.4201228878648235,2.2102447107301018
0.75,2.25,1.0,0.75,163.05410852856377,119.04529830252132,2.8458310527276045,2.077732414397813
0.75,3.0,1.5,3.0,168.47687547299208,139.72751716024433,2.9404761904761907,2.4387052300831407
0.75,2.0,2.0,0.0,136.94320927577368,142.7693857464532,2.39010989010989,2.4917958523254704
0.75,2.0,2.0,0.75,148.54461355243566,114.59155902616465,2.592592592592593,2.0
1.0,2.0,2.25,0.0,138.75199737973884,118.14958992706217,2.421679197994988,2.0620993541083616
1.0,2.0,2.25,0.75,123.63918749612604,114.59155902616465,2.157910906298003,2.0
0.0,2.0,2.0,2.0,114.59155902616465,114.59155902616465,2.0,2.0
0.0,2.0,2.0,2.25,135.59409863715211,142.8553249802712,2.36656346749226,2.493295774912236
1.5,3.0,2.25,1.0,144.5260716384702,127.7225442962938,2.5224558050645007,2.229178926994631
1.5,3.0,2.25,1.5,158.95723508805446,143.2394487827058,2.774327122153209,2.5
2.0,0.75,1.0,0.0,122.46972870921348,153.81793729975692,2.1375,2.684629454506954
2.0,0.75,1.0,0.75,142.7614009682906,132.30337901627436,2.4916564916564914,2.309129575347964
