,theta_11,theta_12,theta_21,theta_22,classical_max_value,quantum_max_value
1426,1.5,1.5,0.0,0.75,2.031766314326479,2.0
1427,2.25,1.5,2.25,1.0,0.2693704928919722,0.6133407984528393
1428,2.25,1.5,2.25,1.5,2.0,2.0
1429,3.0,0.0,1.0,0.0,2.0103421334556595,2.2660444431189783
1430,3.0,0.0,1.0,0.75,1.9957527876533336,2.266044443118978
1431,3.0,0.0,2.0,1.0,1.594062646384893,1.8793852415718173
1432,2.0,3.0,0.0,1.0,0.9889906641772221,1.4396926207859075
1433,3.0,0.0,2.0,1.5,0.887271427260883,1.0000000000000009
1434,2.0,3.0,0.0,1.5,1.988351412748539,2.705737063904886
1435,2.0,2.25,3.0,2.0,0.8399760993876733,1.4485056342568867
1436,0.0,2.25,1.0,1.0,1.6404869236048718,1.8793852415718169
1437,0.0,2.25,1.0,1.5,2.0123194539801794,2.3660254037844384
1438,2.0,2.25,3.0,2.25,2.0012694423573563,2.1629304148838076
1439,0.0,2.0,3.0,3.0,0.596161988424614,1.000000000000003
1440,2.0,3.0,1.0,2.0,-0.21522136150678312,-0.06030737921409146
1441,2.0,3.0,1.0,2.25,0.1390148655705783,0.3263518223330698
1442,2.25,1.0,1.0,3.0,0.5597960472262147,1.205737063904885
1443,2.0,3.0,1.5,0.0,2.0109110265041528,2.0
1444,2.0,3.0,1.5,0.75,2.0266542018229043,2.266044443118979
1445,3.0,0.75,3.0,2.0,0.5766629725411421,0.9999999999999989
1446,3.0,0.75,3.0,2.25,2.0,2.0
1447,3.0,3.0,2.0,2.0,1.4017566415789922,1.8793852415718166
1448,3.0,3.0,2.0,2.25,1.4004281455011869,1.8793852415718169
1449,1.0,3.0,0.75,3.0,1.992125461433659,2.0000000000000004
1450,2.25,0.75,2.0,0.0,0.5929166337130553,0.7339555568810221
1451,2.25,0.75,2.0,0.75,2.0041377000173832,2.0
1452,1.5,0.0,0.0,3.0,2.0,2.0
1453,2.25,0.75,3.0,1.0,1.968110569448735,2.0000000000000004
1454,1.0,1.0,0.75,3.0,0.01401140147880564,0.0
1455,2.25,0.75,3.0,1.5,2.0,2.0
1456,1.0,1.0,0.0,0.0,1.6914033534786337,1.8793852415718169
1457,1.0,1.0,0.0,0.75,1.6143636226208593,1.8793852415718169
1458,1.0,2.25,3.0,0.0,1.652680780910824,1.6736481776669305
1459,1.0,2.25,3.0,0.75,2.0513143565470786,2.0000000000000004
1460,1.0,1.0,1.0,1.0,-2.0,-2.0
1461,1.0,1.0,1.0,1.5,-1.9743182340221617,-1.9999999999999998
1462,0.75,0.0,0.0,2.0,0.58735964782689,1.2057370639048859
1463,0.75,0.0,0.0,2.25,0.5766268157882,1.0000000000000013
1464,0.0,0.0,1.0,0.0,1.6550481599815368,1.8793852415718169
1465,0.0,0.0,1.0,0.75,1.654872126766862,1.8793852415718169
1466,1.5,0.0,1.5,2.0,2.0,2.0
1467,1.5,0.0,1.5,2.25,0.6042130007769388,1.0000000000000007
1468,0.0,1.0,0.0,3.0,0.6015137216211308,1.2057370639048859
1469,2.25,2.25,1.5,3.0,2.0,2.0
1470,1.5,3.0,1.5,0.0,2.0,2.0
1471,0.75,0.0,1.0,3.0,2.020747864076415,2.0
1472,2.0,0.0,3.0,0.0,2.018105246582953,2.266044443118978
1473,2.0,0.0,3.0,0.75,1.400308864166945,1.8793852415718162
1474,1.5,3.0,1.5,0.75,0.871552183626487,1.0000000000000002
1475,1.0,1.5,2.0,3.0,2.059144180304988,2.500000000000001
1476,0.75,0.0,1.5,2.0,2.052258993099506,2.7057370639048863
1477,0.75,0.0,1.5,2.25,2.0388017979689135,2.5000000000000004
1478,0.0,3.0,0.75,3.0,2.025433503713673,2.3660254037844384
1479,3.0,1.0,0.75,2.0,0.6038181647927245,0.4999999999999988
1480,3.0,1.0,0.75,2.25,1.9784196939274807,1.9999999999999996
1481,0.0,1.0,1.5,3.0,2.0,2.113340798452837
1482,0.75,0.75,1.0,3.0,-0.008737029692662691,-1.2246467991473535e-16
1483,0.75,3.0,0.0,3.0,2.026907648097093,2.3660254037844384
1484,0.0,3.0,1.0,1.0,1.6584541557896948,1.8793852415718169
1485,0.0,3.0,1.0,1.5,0.8243350799340828,1.0000000000000013
1486,1.0,0.0,2.25,2.0,1.4644643619891062,2.0477572072305548
1487,1.0,0.0,2.25,2.25,1.6071733890406557,1.8793852415718169
1488,2.25,1.0,0.75,0.0,1.9609711734191344,1.9999999999999993
1489,2.25,1.0,0.75,0.75,2.0114836698189302,2.0
1490,2.0,1.5,1.0,0.0,1.964866805282358,2.5
1491,2.0,1.5,1.0,0.75,0.9551159333752027,1.2057370639048866
1492,3.0,1.5,1.0,1.0,1.5491004612537564,1.8793852415718173
1493,3.0,1.5,1.0,1.5,2.021360140428492,2.2660444431189797
1494,2.0,3.0,3.0,1.0,0.9731505919241537,1.6454296846907943
1495,0.0,0.75,2.0,0.0,0.22016144132651524,0.6133407984528387
1496,0.0,0.75,2.0,0.75,2.0577633178566606,2.366025403784439
1497,0.0,3.0,2.0,2.0,1.6377580529103137,1.8793852415718173
1498,0.0,3.0,2.0,2.25,1.9703168986139474,2.2660444431189783
1499,2.0,3.0,3.0,1.5,0.5852808606232525,0.999999999999999
1500,1.5,0.75,2.25,0.0,2.052177807494264,2.0
